"Year","location","prop.pop","tot.pop"
2006,"Destruction Island",0.412405796914984,325.800579562837
2006,"Neah Bay",0.000154088720749956,0.121730089392466
2006,"Point of the Arches",0.0825896461192263,65.2458204341887
2006,"Tatoosh Island",0.00128756618091241,1.01717728292081
2006,"Teahwhit Head",0.107865200977088,85.2135087718998
2007,"Anderson Point",0.0450205561483408,60.3275452387766
2007,"Cape Alava",0.124799214414684,167.230947315676
2007,"Cape Johnson",0.0814915672990966,109.198700180789
2007,"Rock 305",0.0858136574894078,114.990301035806
2007,"Chibadehl Rock",0.00223828708462148,2.99930469339279
2007,"Destruction Island",0.495831881308917,664.414720953949
2007,"Neah Bay",0.00193764449281431,2.59644362037117
2007,"Point of the Arches",0.102942747637335,137.94328183403
2007,"Tatoosh Island",0.00238156058679884,3.19129118631044
2007,"Teahwhit Head",0.0207260111897478,27.7728549942621
2008,"Anderson Point",0.0343230704465796,39.2312695204404
2008,"Cape Alava",0.121891756464042,139.3222776384
2008,"Cape Johnson",0.186264054989648,212.899814853167
2008,"Rock 305",0.176300557977666,201.511537768472
2008,"Chibadehl Rock",1.08949694821447e-08,1.24529501180914e-05
2008,"Destruction Island",0.547513402166895,625.807818676761
2008,"Neah Bay",3.10862446895044e-15,3.55315776801035e-12
2008,"Point of the Arches",0.0745924983000528,85.2592255569603
2008,"Tatoosh Island",0.000196375121919945,0.224456764354497
2008,"Teahwhit Head",0.0141901465715253,16.2193375312534
2010,"Anderson Point",0.0292297854540119,30.0189896612702
2010,"Cape Alava",0.129714430930319,133.216720565438
2010,"Cape Johnson",0.234668901962621,241.004962315612
2010,"Rock 305",0.226742421680888,232.864467066272
2010,"Chibadehl Rock",6.52914844412322e-09,6.70543545211455e-06
2010,"Destruction Island",0.548357379861125,563.163029117375
2010,"Neah Bay",2.77555756156289e-15,2.85049761572509e-12
2010,"Point of the Arches",0.0703027570859084,72.2009315272279
2010,"Tatoosh Island",0.000117683938594126,0.120861404936168
2010,"Teahwhit Head",0.00952980266075398,9.78710733259434
2011,"Anderson Point",0.0363989917911224,44.3339720015871
2011,"Cape Alava",0.115155323460892,140.259183975366
2011,"Cape Johnson",0.17272278505643,210.376352198731
2011,"Rock 305",0.145564084916319,177.297055428077
2011,"Chibadehl Rock",0.00671271236546012,8.17608366113042
2011,"Destruction Island",0.5456086164549,664.551294842068
2011,"Neah Bay",0.00214967935948218,2.6183094598493
2011,"Point of the Arches",0.0970662255137359,118.22666267573
2011,"Tatoosh Island",0.00675031331039888,8.22188161206584
2011,"Teahwhit Head",0.0129670941639032,15.7939206916341
2012,"Anderson Point",0.0309903470779492,34.2443335211339
2012,"Cape Alava",0.106371299923778,117.540286415775
2012,"Cape Johnson",0.118065046842895,130.461876761399
2012,"Rock 305",0.0776159301693554,85.7656028371377
2012,"Chibadehl Rock",0.00241867016680986,2.67263053432489
2012,"Destruction Island",0.644797988740873,712.501777558664
